CODIGO,TIPO,CONCEPTO,tipo_catalogo
1301051,,A filiales - Moneda Nacional,5
1301052,,A filiales - Moneda Extranjera,5
130106,,A empresas extranjeras no domiciliadas,5
1301061,,A empresas extranjeras no domiciliadas - Moneda Nacional,5
1301062,,A empresas extranjeras no domiciliadas - Moneda Extranjera,5
130108,,Operaciones bursátiles,5
1301081,,Operaciones bursátiles - Moneda Nacional,5
1301082,,Operaciones bursátiles - Moneda Extranjera,5
1302,,A MAS DE UN AÑO PLAZO,5
130201,,A entidades del Estado (Ver Anexo No.1),5
1302011,,A entidades del Estado - Moneda Nacional,5
130201101,,Otorgamientos originales,5
130201102,,Refinanciados (2),5
130201103,,Reestructurados (2),5
1302012,,A entidades del Estado - Moneda Extranjera,5
130202,,A empresas privadas (Ver Anexo No.1),5
1302021,,A empresas privadas - Moneda Nacional,5
1302022,,A empresas privadas - Moneda Extranjera,5
130203,,A Particulares (Ver Anexo No.1),5
1302031,,A Particulares - Moneda Nacional,5
1302032,,A Particulares - Moneda Extranjera,5
130204,,Otras entidades del sistema financiero (Ver Anexo No. 1),5
1302041,,Otras entidades del sistema financiero - Moneda Nacional,5
1302042,,Otras entidades del sistema financiero - Moneda Extranjera,5
130205,,A filiales,5
1302051,,A filiales - Moneda Nacional,5
1302052,,A filiales - Moneda Extranjera,5
130206,,A empresas extranjeras no domiciliadas,5
1302061,,A empresas extranjeras no domiciliadas - Moneda Nacional,5
1302062,,A empresas extranjeras no domiciliadas - Moneda Extranjera,5
130207,,Con garantía de pólizas,5
1302071,,Con garantía de pólizas - Moneda Nacional,5
130207101,,Directos,5
130207102,,Automáticos,5
1302072,,Con garantía de pólizas - Moneda Nacional,5
130207201,,Directos,5
130207202,,Automáticos,5
1303,,VENCIDOS,5
130301,,A entidades del Estado (Ver Anexo No.1),5
1303011,,A entidades del Estado - Moneda Nacional,5
130301101,,Otorgamientos originales,5
130301102,,Refinanciados (2),5
130301103,,Reestructurados (2),5
1303012,,A entidades del Estado - Moneda Extranjera,5
130302,,A empresas privadas (Ver Anexo No.1),5
1303021,,A empresas privadas - Moneda Nacional,5
1303022,,A empresas privadas - Moneda Extranjera,5
130303,,A Particulares (Ver Anexo No.1),5
1303031,,A Particulares - Moneda Nacional,5
1303032,,A Particulares - Moneda Extranjera,5
130304,,Otras entidades del sistema financiero (Ver Anexo No. 1),5
1303041,,Otras entidades del sistema financiero - Moneda Nacional,5
1303042,,Otras entidades del sistema financiero - Moneda Extranjera,5
130305,,A filiales,5
1303051,,A filiales - Moneda Nacional,5
1303052,,A filiales - Moneda Extranjera,5
130306,,A empresas extranjeras no domiciliadas,5
1303061,,A empresas extranjeras no domiciliadas - Moneda Nacional,5
1303062,,A empresas extranjeras no domiciliadas - Moneda Extranjera,5
130308,,Operaciones bursátiles,5
1303081,,Operaciones bursátiles - Moneda Nacional,5
1303082,,Operaciones bursátiles - Moneda Extranjera,5
1398,,RENDIMIENTOS POR PRESTAMOS,5
139801,,A entidades del Estado,5
1398011,,A entidades del Estado - Moneda Nacional,5
1398012,,A entidades del Estado - Moneda Extranjera,5
139802,,A empresas privadas,5
1398021,,A empresas privadas - Moneda Nacional,5
1398022,,A empresas privadas - Moneda Extranjera,5
139803,,A particulares,5
1398031,,A particulares - Moneda Nacional,5
1398032,,A particulares - Moneda Extranjera,5
139804,,A otras entidades del sistema financiero,5
1398041,,A otras entidades del sistema financiero - Moneda Nacional,5
1398042,,A otras entidades del sistema financiero - Moneda Extranjera,5
139805,,A filiales,5
1398051,,A filiales - Moneda Nacional,5
1398052,,A filiales - Moneda Extranjera,5
139806,,A empresas extranjeras no domiciliadas,5
1398061,,A empresas extranjeras no domiciliadas - Moneda Nacional,5
1398062,,A empresas extranjeras no domiciliadas - Moneda Extranjera,5
139807,,Préstamos con garantía de pólizas,5
1398071,,Préstamos con garantía de pólizas - Moneda Nacional,5
1398072,,Préstamos con garantía de pólizas - Moneda Extranjera,5
139808,,Operaciones bursátiles,5
1398081,,Operaciones bursátiles - Moneda Nacional,5
1398082,,Operaciones bursátiles - Moneda Extranjera,5
1399,,PROVISIONES POR PRESTAMOS ( Cr ),5
139901,,A entidades del Estado,5
1399011,,A entidades del Estado - Moneda Nacional,5
1399012,,A entidades del Estado - Moneda Extranjera,5
139902,,A empresas privadas,5
1399021,,A empresas privadas - Moneda Nacional,5
1399022,,A empresas privadas - Moneda Extranjera,5
139903,,A particulares,5
1399031,,A particulares - Moneda Nacional,5
1399032,,A particulares - Moneda Extranjera,5
139904,,A otras entidades del sistema financiero,5
1399041,,A otras entidades del sistema financiero - Moneda Nacional,5
1399042,,A otras entidades del sistema financiero - Moneda Extranjera,5
139905,,A filiales,5
1399051,,A filiales - Moneda Nacional,5
1399052,,A filiales - Moneda Extranjera,5
139906,,A empresas extranjeras no domiciliadas,5
1399061,,A empresas extranjeras no domiciliadas - Moneda Nacional,5
1399062,,A empresas extranjeras no domiciliadas - Moneda Extranjera,5
139908,,Operaciones bursátiles,5
1399081,,Operaciones bursátiles - Moneda Nacional,5
1399082,,Operaciones bursátiles - Moneda Extranjera,5
14,,PRIMAS POR COBRAR,5
1401,,PRIMAS DE SEGUROS DE VIDA,5
140101,,De vida individual de largo plazo,5
1401011,,De vida individual de largo plazo - Moneda Nacional,5
140101101,,Seguros directos,5
140101109,,Seguros de filiales,5
1401012,,De vida individual de largo plazo - Moneda Extranjera,5
140102,,De vida individual de corto plazo,5
1401021,,De vida individual de corto plazo - Moneda Nacional,5
1401022,,De vida individual de corto plazo - Moneda Extranjera,5
140103,,Colectivo,5
1401031,,Colectivo - Moneda Nacional,5
1401032,,Colectivo - Moneda Extranjera,5
140104,,Otros planes,5
1401041,,Otros planes - Moneda Nacional,5
1401042,,Otros planes - Moneda Extranjera,5
1402,,PRIMAS DE SEGUROS PREVISIONALES RENTAS Y PENSIONES,5
140201,,Rentas de invalidez y sobrevivencia,5
1402011,,Rentas de invalidez y sobrevivencia - Moneda Nacional,5
1402012,,Rentas de invalidez y sobrevivencia - Moneda Extranjera,5
140202,,Sepelio,5
1402021,,Sepelio - Moneda Nacional,5
1402022,,Sepelio - Moneda Extranjera,5
140203,,Otras rentas,5
1402031,,Otras Rentas - Moneda Nacional,5
1402032,,Otras Rentas - Moneda Extranjera,5
140204,,Pensiones,5
1402041,,Pensiones - Moneda Nacional,5
1402042,,Pensiones - Moneda Extranjera,5
1403,,PRIMAS DE SEGUROS DE ACCIDENTES Y ENFERMEDADES,5
140301,,Salud y hospitalización,5
1403011,,Salud y hospitalización - Moneda Nacional,5
1403012,,Salud y hospitalización - Moneda Extranjera,5
140302,,Accidentes personales,5
1403021,,Accidentes personales - Moneda Nacional,5
1403022,,Accidentes personales - moneda Extranjera,5
140303,,Accidentes viajes aéreos,5
1403031,,Accidentes viajes aéreos - Moneda Nacional,5
1403032,,Accidentes viajes aéreos - Moneda Extranjera,5
140304,,Escolares,5
1403041,,Escolares - Moneda Nacional,5
1403042,,Escolares - Moneda Extranjera,5
1404,,PRIMAS DE SEGUROS DE INCENDIOS Y LINEAS ALIADAS,5
140401,,Incendios,5
1404011,,Incendios - Moneda Nacional,5
1404012,,Incendios - Moneda Extranjera,5
1405,,PRIMAS DE SEGUROS DE AUTOMOTORES,5
140501,,Automotores,5
1405011,,Automotores - Moneda Nacional,5
1405012,,Automotores - Moneda Extranjera,5
1406,,PRIMAS DE OTROS SEGUROS GENERALES,5
140601,,Rotura de Cristales,5
1406011,,Rotura de Cristales - Moneda Nacional,5
1406012,,Rotura de Cristales - Moneda Extranjera,5
140602,,Transporte marítimo,5
1406021,,Transporte Marítimo - Moneda Nacional,5
1406022,,Transporte Marítimo - Moneda Extranjera,5
140603,,Transporte aéreo,5
1406031,,Transporte aéreo - Moneda Nacional,5
1406032,,Transporte aéreo - Moneda Extranjera,5
140604,,Transporte terrestre,5
1406041,,Transporte terrestre - Moneda Nacional,5
1406042,,Transporte terrestre - Moneda Extranjera,5
140605,,Marítimos casco,5
1406051,,Marítimos casco - Moneda Nacional,5
1406052,,Marítimos casco - Moneda Extranjera,5
140606,,Aviación,5
1406061,,Aviación - Moneda Nacional,5
1406062,,Aviación - Moneda Extranjera,5
140607,,Robo y hurto,5
1406071,,Robo y Hurto - Moneda Nacional,5
1406072,,Robo y Hurto - Moneda Extranjera,5
140608,,Fidelidad,5
1406081,,Fidelidad - Moneda Nacional,5
1406082,,Fidelidad - Moneda Extranjera,5
140609,,Seguro de bancos,5
1406091,,Seguro de bancos - Moneda Nacional,5
1406092,,Seguro de bancos - Moneda Nacional,5
140610,,Todo riesgo para contratista,5
1406101,,Todo Riesgo para Contratista - Moneda Nacional,5
1406102,,Todo Riesgo para Contratista - Moneda Extranjera,5
140611,,Todo riesgo equipo para contratistas,5
1406111,,Todo riesgo equipo para contratistas - Moneda Nacional,5
1406112,,Todo riesgo equipo para contratistas - Moneda Extranjera,5
140612,,Rotura de maquinaria,5
1406121,,Rotura de maquinaria - Moneda Nacional,5
1406122,,Rotura de maquinaria - Moneda Extranjera,5
140613,,Montaje contra todo riesgo,5
1406131,,Montaje contra todo riesgo - Moneda Nacional,5
1406132,,Montaje contra todo riesgo - Moneda Extranjera,5
140614,,Todo riesgo equipo electrónico,5
1406141,,Todo riesgo equipo electrónico - Moneda Nacional,5
1406142,,Todo riesgo equipo electrónico - Moneda Extranjera,5
140615,,Calderas,5
1406151,,Calderas - Moneda Nacional,5
1406152,,Calderas - Moneda Extranjera,5
140616,,Lucro cesante por interrupción de negocios,5
1406161,,Lucro cesante por interrupción de negocios - Moneda Nacional,5
1406162,,Lucro cesante por interrupción de negocios - Moneda Extranjera,5
140617,,Lucro cesante rotura de maquinaria,5
1406171,,Lucro cesante rotura de maquinaria - Moneda Nacional,5
1406172,,Lucro cesante rotura de maquinaria - Moneda Extranjera,5
140618,,Responsabilidad civil,5
1406181,,Responsabilidad civil - Moneda Nacional,5
1406182,,Responsabilidad civil - Moneda Extranjera,5
140619,,Riesgos profesionales,5
1406191,,Riesgos profesionales - Moneda Nacional,5
1406192,,Riesgos profesionales - Moneda Extranjera,5
140620,,Ganadero,5
1406201,,Ganadero - Moneda Nacional,5
1406202,,Ganadero - Moneda Extranjera,5
140621,,Agrícola,5
1406211,,Agrícola - Moneda Nacional,5
1406212,,Agrícola - Moneda Extranjera,5
140622,,Domiciliario,5
1406221,,Domiciliario - Moneda Nacional,5
1406222,,Domiciliario - Moneda Extranjera,5
140623,,Crédito interno,5
1406231,,Crédito interno - Moneda Nacional,5
1406232,,Crédito interno - Moneda Extranjera,5
140624,,Crédito a la exportación,5
1406241,,Crédito a la exportación - Moneda Nacional,5
1406242,,Crédito a la exportación - Moneda Extranjera,5
140625,,Misceláneos,5
1406251,,Misceláneos - Moneda Nacional,5
1406252,,Misceláneos - Moneda Extranjera,5
1407,,PRIMAS DE FIANZAS,5
140701,,Fidelidad,5
1407011,,Fidelidad - Moneda Nacional,5
140701101,,Fianzas directas,5
140701109,,Fianzas de filiales,5
1407012,,Fidelidad - Moneda Extranjera,5
140702,,Garantía,5
1407021,,Garantía - Moneda Nacional,5
1407022,,Garantía - Moneda Extranjera,5
140703,,Motoristas,5
1407031,,Motoristas - Moneda Nacional,5
1407032,,Motoristas - Moneda Extranjeras,5
1408,,PRIMAS VENCIDAS (1),5
140801,,De seguros de vida,5
1408011,,De seguros de vida - Moneda nacional,5
1408012,,De seguros de vida - Moneda extranjera,5
140802,,Previsionales rentas y pensiones,5
1408021,,Previsionales rentas y pensiones - Moneda nacional,5
1408022,,Previsionales rentas y pensiones - Moneda extranjera,5
140803,,Accidentes y enfermedad,5
1408031,,Accidentes y enfermedad -Moneda nacional,5
1408032,,Accidentes y enfermedad -Moneda extranjera,5
140804,,Incendios y líneas aliadas,5
1408041,,Incendios y líneas aliadas - Moneda nacional,5
1408042,,Incendios y líneas aliadas - Moneda extranjera,5
140805,,Automotores,5
1408051,,Automotores - Moneda nacional,5
1408052,,Automotores - Moneda extranjera,5
140806,,Otros seguros generales,5
1408061,,Otros seguros generales - Moneda nacional,5
1408062,,Otros seguros generales - Moneda extranjera,5
140807,,Fianzas,5
1408071,,Fianzas - Moneda nacional,5
1408072,,Fianzas - Moneda extranjera,5
1499,,PROVISIÓN POR PRIMAS POR COBRAR (cr) (1),5
149901,,De seguros de vida,5
1499011,,De seguros de vida - Moneda nacional,5
1499012,,De seguros de vida - Moneda extranjera,5
149902,,Previsionales rentas y pensiones,5
1499021,,Previsionales rentas y pensiones - Moneda nacional,5
1499022,,Previsionales rentas y pensiones - Moneda extranjera,5
149903,,Accidentes y enfermedad,5
1499031,,Accidentes y enfermedad -Moneda nacional,5
1499032,,Accidentes y enfermedad -Moneda extranjera,5
149904,,Incendios y líneas aliadas,5
1499041,,Incendios y líneas aliadas - Moneda nacional,5
1499042,,Incendios y líneas aliadas - Moneda extranjera,5
149905,,Automotores,5
1499051,,Automotores - Moneda nacional,5
1499052,,Automotores - Moneda extranjera,5
149906,,Otros seguros generales,5
1499061,,Otros seguros generales - Moneda nacional,5
1499062,,Otros seguros generales - Moneda extranjera,5
149907,,Fianzas,5
1499071,,Fianzas - Moneda nacional,5
1499072,,Fianzas - Moneda extranjera,5
16,,SOCIEDADES DEUDORAS DE SEGUROS Y FIANZAS,5
1601,,CUENTA CORRIENTE POR SEGUROS Y FIANZAS,5
160101,,Con reaseguradas,5
1601011,,Con reaseguradas - Moneda Nacional,5
1601012,,Con reaseguradas - moneda Extranjera,5
160102,,Coaseguradoras,5
1601021,,Coaseguradoras - Moneda Nacional,5
1601022,,Coaseguradpras - Moneda Extranjera,5
160103,,Con reafianzadas,5
1601031,,Con Reafianzadas - Moneda Nacional,5
1601032,,Con Reafianzadas - Moneda Extranjera,5
160104,,Con coafianzadoras,5
1601041,,Con coafianzadoras - Moneda Nacional,5
1601042,,Con coafianzadoras - Moneda Extranjera,5
160109,,Con filiales,5
1601091,,Con filiales - Moneda Nacional,5
160109101,,Reaseguradas,5
160109102,,Reafianzadas,5
160109103,,Coaseguradoras,5
1601092,,Con filiales - Moneda Extranjera,5
160109201,,Reaseguradas,5
160109202,,Reafianzadas,5
160109203,,Coaseguradoras,5
1602,,PRIMAS RETENIDAS POR SEGUROS Y FIANZAS,5
160201,,Por reaseguros tomados,5
1602011,,Por reaseguros tomados - Moneda Nacional,5
1602012,,Por reaseguros tomados - Moneda Extranjera,5
160202,,Por reafianzamientos tomados,5
1602021,,Por reafianzamientos tomados - Moneda Nacional,5
1602022,,Por reafianzamientos tomados - Moneda Extranjera,5
160209,,Por filiales,5
1602091,,Por filiales - Moneda Nacional,5
160209101,,Reaseguradas,5
160209102,,Reafianzadas,5
160209103,,Coaseguradoras,5
1602092,,Por filiales - Moneda Extranjera,5
160209201,,Reaseguradas,5
160209202,,Reafianzadas,5
160209203,,Coaseguradoras,5
1603,,CUENTA CORRIENTE POR REASEGUROS Y REAFIANZAMIENTOS,5
160301,,Con reaseguradoras,5
1603011,,Con reaseguradoras - Moneda Nacional,5
1603012,,Con reaseguradoras - Moneda Extranjera,5
160302,,Con reafianzadoras,5
1603021,,Con reafianzadoras - Moneda Nacional,5
1603022,,Con reafianzadoras - Moneda Extranjera,5
160303,,Con coaseguradoras (1),5
1603031,,Con coaseguradoras - Moneda Nacional,5
163032,,Con coaseguradoras - Moneda Extranjera,5
160309,,Con filiales,5
1603091,,Con filiales - Moneda Nacional,5
160309101,,Reaseguradas,5
160309102,,Reafianzadas,5
160309103,,Coaseguradoras,5
1603092,,Con filiales - Moneda Extranjera,5
160309201,,Reaseguradas,5
160309202,,Reafianzadas,5
160309203,,Coaseguradoras,5
17,,INVERSIONES PERMANENTES,5
1701,,INVERSIONES EN BIENES RAICES NO HABITACIONALES,5
1701010,,Terrenos,5
1701020,,Edificaciones,5
1702,,PARTICIPACION PATRIMONIAL EN SOCIEDADES NACIONALES,5
1702011,,En sociedades de seguros filiales,5
1702021,,En otras sociedades de seguros,5
1702031,,En sociedades complementarias filiales,5
1702041,,En otras sociedades complementarias,5
1702051,,En sociedades de seguros nacionales en proceso de regularización,5
1703,,PARTICIPACION PATRIMONIAL EN SOCIEDADES DEL,5
1703012,,En sociedades de seguros filiales,5
1703022,,En otras sociedades de seguros,5
1703032,,En sociedades complementarias filiales,5
1703042,,En otras sociedades complementarias,5
1799,,PROVISIONES POR DESVALORIZACION DE INVERSIONES PERMANENTES (Cr),5
1799010,,De bienes raíces no habitacionales,5
1799021,,De participación patrimonial en sociedades de nacionales,5
1799032,,De participación patrimonial en sociedades del exterior,5
18,,"INMUEBLES, MOBILIARIO Y EQUIPO",5
1801,,INMUEBLES,5
1801010,,Terrenos,5
1801020,,Terrenos en arrendamiento financiero,5
1801030,,Edificios,5
1801040,,Edificios en arrendamiento financiero,5
1801050,,Instalaciones,5
1803,,MOBILIARIO Y EQUIPO,5
1803010,,Mobiliario de oficina,5
1803020,,Equipos de oficina,5
1803030,,Equipos de computación,5
1803090,,Otros mobiliarios y equipos,5
1804,,EQUIPOS DE TRANSPORTE,5
1804010,,Vehículos,5
1804020,,Vehículos en arrendamiento financiero,5
1804030,,Otros equipos de transporte,5
1804040,,Otros equipos de transporte en arrendamiento financiero,5
1806,,OTROS BIENES,5
1806010,,Obras en ejecución,5
1806020,,Bienes por recibir,5
1899,,DEPRECIACION ACUMULADA DE INMUEBLES MOBILIARIO Y EQUIPO (Cr),5
1899020,,De inmuebles,5
1899030,,De mobiliario y equipo,5
1899040,,De equipos de transporte,5
19,,OTROS ACTIVOS,5
1901,,PAGOS ANTICIPADOS Y CARGOS DIFERIDOS,5
1901010,,Alquileres pagados por anticipado,5
1901020,,Primas de seguros pagadas por anticipado,5
1901030,,Primas de reaseguros cedidos pagadas por anticipado,5
1901040,,Instalaciones y mejoras en propiedades arrendadas,5
1901050,,Utiles de oficina y papelería pagados por anticipado,5
1901060,,Publicidad y mercadeo pagados por anticipado,5
1901070,,Gastos de organización e instalación,5
1901080,,Gastos de reorganización administrativa,5
1901090,,Diversos,5
1902,,CUENTAS POR COBRAR DIVERSAS,5
1902010,,Depósitos en garantía,5
1902020,,Alquileres,5
1902030,,Comisiones de préstamos y servicios,5
1902040,,Anticipos al personal,5
1902050,,Anticipos de comisiones a intermediarios y agentes,5
1902060,,Adelantos por cuenta de asegurados,5
1902090,,Otras,5
1903,,IMPUESTO SOBRE LA RENTA POR LIQUIDAR,5
1903010,,Pago a cuenta,5
1903020,,Impuesto retenido,5
1903030,,Remanente de impuesto,5
1904,,CREDITO FISCAL - IVA,5
1904010,,Crédito fiscal - IVA,5
1905,,ACTIVOS EXTRAORDINARIOS,5
190501,,Títulos valores recibidos en pago,5
1905011,,Títulos valores recibidos en pago - Moneda nacional,5
1905012,,Títulos valores recibidos en pago - Moneda Extranjera,5
1905020,,Bienes muebles recibidos en pago,5
1905030,,Inmuebles recibidos en pago,5
1999,,PROVISIONES DE OTROS ACTIVOS (Cr),5
1999010,,Cuentas por cobrar diversas,5
1999020,,Activos extraordinarios,5
2,,PASIVO,5
21,,OBLIGACIONES CON ASEGURADOS,5
2101,,OBLIGACIONES POR SINIESTROS,5
210101,,De seguros de vida,5
2101011,,Moneda nacional,5
2101012,,Moneda extranjera,5
210102,,De seguros previsionales rentas y pensiones,5
2101021,,Moneda nacional,5
2101022,,Moneda extranjera,5
210103,,De seguros de accidentes y enfermedades,5
2101031,,Moneda nacional,5
2101032,,Moneda extranjera,5
210104,,De seguros de incendios y líneas aliadas,5
2101041,,Moneda nacional,5
2101042,,Moneda extranjera,5
210105,,De seguros de automotores,5
2101051,,Moneda nacional,5
2101052,,Moneda extranjera,5
210106,,De otros seguros generales,5
2101061,,Moneda nacional,5
